metric,value
ssim_mean,0.651833403999501
ssim_median,0.6861008916564711
ssim_std,0.2686615881652098
gssim_mean,0.17190229343723717
gssim_median,0.09711912500465225
gssim_std,0.16862767590698818
feature_dice_mean,0.5271860693926539
feature_dice_median,0.6155147148985062
feature_dice_std,0.2953251142430547
feature_distance_mean,0.47281393060734606
feature_distance_median,0.3844852851014938
feature_distance_std,0.29532511424305474
avg_curve_diff_abs,0.19969361021365992
num_validation_tars_matched,40.0
num_samples_used,720.0
num_samples_skipped,
num_ssim_rows,10800.0
num_corr_rows,10080.0
num_feature_rows,10800.0
num_missing_original_tars,0.0
num_missing_translated_tars,0.0
