Metric,Mean,StdErr
"W(V, V)",0.0,0.0
"W(U, V)",0.7867403216417264,0.0
"W(V_tilde, V)",0.03555195058157045,0.005196127437056511
"W(noisedA_noise_previous, V)",0.8043887069928711,0.0007402073894565076
"W(noisedA_cutout_previous, V)",0.8127768225376432,0.005061743128672603
"W(noisedA_gradient_previous, V)",0.7811626177789378,0.004173245139509175
"W(noisedA_saltpepper, V)",0.8159316934891815,0.003150306377412114
"W(noisedA_combined_previous, V)",0.8068729265320124,0.0061339167575720265
"FID(U, V)",216.3849639892578,0.0
"FID(V_tilde, V)",136.46269452130352,3.955473393471366
"FID(noisedA_noise_previous, V)",147.82632446289062,0.19511876531229666
"FID(noisedA_cutout_previous, V)",210.73852030436197,0.8282560202004838
"FID(noisedA_gradient_previous, V)",200.38898213704428,0.35101470377963645
"FID(noisedA_saltpepper, V)",352.0013478597005,0.5722708614735081
"FID(noisedA_combined_previous, V)",167.64860026041666,0.7146386035843392
