group,metric,mean_HOH,mean_Hbond,mean_OH,mean_OO,mean_OrderP,mean_ZOH,n_HOH,n_Hbond,n_OH,n_OO,n_OrderP,n_ZOH,sem_HOH,sem_Hbond,sem_OH,sem_OO,sem_OrderP,sem_ZOH
PPAFM2Exp_CoAll_L10_L10_Elatest,ED,0.02167498460948311,0.02907567175856405,0.018686050653612254,0.010449867680614094,0.2416895081981292,0.03491415662763565,11,11,11,11,11,11,0.0006214408351455088,0.003698536176419289,0.0005175254491711134,0.0006169949846514367,0.00931959175565431,0.002308849233238011
PPAFM2Exp_CoAll_L10_L10_Elatest,MMD,0.6754869481043662,0.2636874880292344,0.6218201662526878,0.318897095283908,0.6325118236056245,0.20700136014457413,11,11,11,11,11,11,0.005766392028797477,0.01220373294341108,0.004073329286262503,0.006343721170610268,0.010610502942484994,0.007351137277121991
PPAFM2Exp_CoAll_L10_L10_Elatest,WD,0.05152165980326306,0.04840597713535482,0.04057337632354672,0.03204091387235946,0.2459973625161431,0.11814423346789392,11,11,11,11,11,11,0.0011394895389772914,0.004120378788093559,0.0006450012202524726,0.0012394815944308032,0.0076830336532129105,0.0038394147412799274
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,ED,0.02324831273989542,0.046528787297849705,0.0201667397415644,0.0119171867256867,0.2580547052177222,0.041028207743320874,11,11,11,11,11,11,0.0008164849024293039,0.005224741767566058,0.0005787014877767485,0.0009773826243085584,0.011176045929896985,0.00524927761046104
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,MMD,0.6916098096534088,0.32173448368003577,0.6338523198138382,0.3386053293716922,0.6410392194577275,0.22228535951663472,11,11,11,11,11,11,0.00580499192000771,0.016490296736367756,0.003563406327389377,0.010357882570618279,0.014391648933594584,0.017081684426072746
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,WD,0.05342514690095794,0.06620849872177298,0.04289795750883473,0.035384589338614394,0.26228382370688696,0.12522666799377252,11,11,11,11,11,11,0.00164716382264802,0.00534103598314075,0.0006552523324388203,0.001791187466166445,0.00931348707931168,0.008752846071934915
PPAFM2Exp_CoAll_L20_L1_Elatest,ED,0.022311952704815684,0.027175587643926025,0.018615708881767657,0.009375440083210774,0.24531680856426266,0.037129703839061,10,10,10,10,10,10,0.0007390865853491699,0.003085237019277008,0.0005350417821088139,0.0003664387301169954,0.009587085974792653,0.0033046176856156204
PPAFM2Exp_CoAll_L20_L1_Elatest,MMD,0.6813025396115694,0.2496954683472022,0.6217908751391874,0.3138101552486602,0.6451239296551358,0.2124556465297356,10,10,10,10,10,10,0.005476269727387308,0.009430466209892671,0.004057094653518199,0.003497982617663883,0.009972876614225183,0.010463289850404556
PPAFM2Exp_CoAll_L20_L1_Elatest,WD,0.05270242752880476,0.048966304212808606,0.04095724178820863,0.031550152394393856,0.2471708297729492,0.12123111534691162,10,10,10,10,10,10,0.0012886120747391192,0.003327912679779277,0.000573911750828112,0.001542404586074399,0.010070193513736081,0.006147355324684323
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,ED,0.024874235321097508,0.04176203619768944,0.019591751811166427,0.010650441045892821,0.24951792314305,0.02820563919214444,11,11,11,11,11,11,0.0005342576568481047,0.004942021536018832,0.0004244199389523769,0.0008217105385561325,0.010249252864513362,0.0029184271130623775
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,MMD,0.6980450300529001,0.2982604117216889,0.6330235378658642,0.3307297047834266,0.6388046388943809,0.18863093822383795,11,11,11,11,11,11,0.005529283666497941,0.014683859315514155,0.004379567845058767,0.009432617967299094,0.00935316760065207,0.010790775133651053
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,WD,0.05752402791011428,0.06400576538660309,0.043410848767097894,0.03426253401562478,0.2533200830221176,0.10481442589446856,11,11,11,11,11,11,0.0011726625077400725,0.00520057183656019,0.0005499687194352262,0.0017117164355983342,0.01035019941355595,0.005700770975768445
Ref,ED,0.024308996743274004,0.0963833882432794,0.021806109463587617,0.015326649493213142,0.2590098852381029,0.03955300861877487,11,11,11,11,11,11,0.0006118377345192515,0.0067420879143991475,0.0006702840676428561,0.0008295340797519033,0.0052739945457186965,0.0034357534210652982
Ref,MMD,0.6807306902414686,0.44977681612878123,0.6292207091627587,0.3777380371048389,0.6487248559815245,0.21794010225112215,11,11,11,11,11,11,0.006572864045035497,0.011664882581824874,0.004171099160220745,0.007109904315888414,0.0071433079220963895,0.009729873190677852
Ref,WD,0.05755268589979994,0.11446212773973291,0.04469414125018884,0.042481241659697445,0.2574126408858733,0.12096354147219766,11,11,11,11,11,11,0.0011444540861414248,0.006262877090984628,0.0006673826565001954,0.0010661488371080806,0.0038667047712134515,0.006215145780261782
